  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
135,HFL,24,24.6,23.9,24.1,24.6,-0.6,294,3.771,"156,435"
136,HRTEX,21.5,21.5,21.1,21.4,21.8,-0.3,26,0.217,"10,153"
137,HWAWELLTEX,28.3,30.1,28.3,28.5,29.5,-1.2,85,1.987,"68,437"
138,IBNSINA,105,107.3,104,104.3,105.2,-0.2,294,7.583,"71,542"
139,ICB,128.5,130.6,128.2,128.7,129.9,-1.4,208,4.456,"34,497"
140,ICB1STNRB,0,0,0,17.8,17.8,--,0,0,0
141,ICB2NDNRB,6.5,6.6,6.5,6.6,6.6,-0.1,4,0.033,"5,000"
142,ICB3RDNRB,4,4.1,3.9,4.1,4,0,32,0.533,"131,500"
143,ICBAMCL2ND,4.5,4.5,4.5,4.5,4.6,-0.1,1,0.002,500
144,ICBEPMF1S1,4.2,4.2,4.1,4.1,4.2,0,10,0.059,"14,450"
145,ICBIBANK,4,4.1,3.9,4,4,0,134,2.041,"512,802"
146,ICBSONALI1,5.9,5.9,5.9,5.9,5.9,0,1,0.006,"1,000"
147,IDLC,49,50.4,48.8,49.2,50.9,-1.9,691,27.16,"550,166"
148,IFADAUTOS,65,66,63.3,65.7,63.6,1.4,"1,705",106.95,"1,643,235"
149,IFIC,21.5,21.9,21,21.1,21.6,-0.1,88,1.289,"60,814"
150,IFIC1STMF,4.3,4.4,4.3,4.3,4.3,0,14,0.123,"28,664"
151,IFILISLMF1,5.6,5.8,5.6,5.7,5.7,-0.1,24,0.224,"39,295"
152,ILFSL,11.9,11.9,11.7,11.7,11.9,0,88,1.817,"154,458"
153,IMAMBUTTON,10,10.2,10,10,10.7,-0.7,34,0.189,"18,820"
154,INTECH,12.6,12.8,12.5,12.6,12.8,-0.2,97,1.001,"78,930"
155,IPDC,14.2,14.7,14.2,14.4,14.7,-0.5,26,0.254,"17,699"
156,ISLAMIBANK,20.2,20.3,20,20.2,20.2,0,210,7.096,"353,433"
157,ISLAMICFIN,14.7,14.7,14.5,14.6,14.7,0,106,2.006,"137,369"
