  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
129,GRAMEENS2,9.1,9.3,9.1,9.1,9.3,-0.2,69,0.497,"54,279"
130,GREENDELMF,3.8,4,3.8,3.8,3.9,-0.1,12,0.673,"176,975"
131,GREENDELT,52,55,52,52.8,55,-3,27,0.221,"4,176"
132,GSPFINANCE,11,11.2,10.8,10.9,11.1,-0.1,200,3.909,"356,452"
133,HAKKANIPUL,21.4,22.3,20.6,21.1,21.6,-0.2,34,0.2,"9,461"
134,HEIDELBCEM,451,454,450,452.4,453.5,-2.5,189,10.355,"22,898"
135,HFL,22.3,22.8,21.5,22.5,22.1,0.2,419,5.301,"237,307"
136,HRTEX,19.9,20.1,19.9,20,20,-0.1,7,0.025,"1,238"
137,HWAWELLTEX,29.3,30,29,29,29.6,-0.3,105,1.643,"56,062"
138,IBNSINA,100,100,96,97,100.2,-0.2,134,2.232,"22,526"
139,ICB,123,125.3,122.1,122.5,125,-2,142,2.617,"21,241"
140,ICB1STNRB,0,0,0,17.1,17.1,--,0,0,0
141,ICB2NDNRB,6.4,6.4,6.3,6.4,6.3,0.1,6,0.043,"6,750"
142,ICB3RDNRB,3.8,4,3.8,3.9,3.9,-0.1,22,0.174,"45,000"
143,ICBAMCL2ND,4,4.1,3.9,4,3.9,0.1,17,0.257,"65,000"
144,ICBEPMF1S1,4,4,3.8,3.9,3.8,0.2,8,0.07,"18,000"
145,ICBIBANK,3.9,4,3.9,3.9,3.9,0,38,0.687,"173,941"
146,ICBSONALI1,5.1,5.1,4.8,4.9,4.8,0.3,22,0.252,"51,193"
147,IDLC,46,47,45,45.7,46.6,-1,547,19.319,"420,513"
148,IFADAUTOS,74.1,75,71,74,70.6,3.5,2460,155.774,"2,139,418"
149,IFIC,20,20.6,18.5,19.7,20,0,361,11.637,"609,975"
150,IFIC1STMF,4.1,4.1,4,4,4.1,0,19,0.066,"16,332"
151,IFILISLMF1,5.2,5.2,4.8,4.9,5.1,0.1,23,0.313,"63,658"
152,ILFSL,12.2,12.2,11.5,12,12.1,0.1,135,6.636,"565,456"
153,IMAMBUTTON,9.1,9.1,9.1,9.1,8.4,0.7,5,0.018,"2,000"
154,INTECH,11.1,11.4,11.1,11.1,11.3,-0.2,57,0.41,"36,705"
155,IPDC,14,14.4,13.7,13.9,13.7,0.3,21,0.117,"8,412"
156,ISLAMIBANK,19.9,19.9,19.4,19.7,19.7,0.2,199,6.021,"307,366"
157,ISLAMICFIN,12,12,11.5,12,12.9,-0.9,177,2.48,"209,868"
158,ISLAMIINS,16.4,16.5,16.4,16.5,16.8,-0.4,15,0.225,"13,682"
159,ISNLTD,10.8,10.8,10.2,10.8,10.3,0.5,2,0.011,"1,003"
160,JAMUNABANK,12.9,13,12.6,12.9,12.9,0,157,1.769,"138,327"
161,JAMUNAOIL,199.4,201,197.5,199.7,199.9,-0.5,458,15.564,"78,172"
162,JANATAINS,11.5,11.6,11.4,11.4,11.5,0,5,0.019,"1,667"
163,JMISMDL,176,179.9,172.6,174,176.7,-0.7,570,15.67,"89,681"
164,JUTESPINN,0,0,0,44.3,44.3,--,0,0,0
165,KARNAPHULI,14,14.2,13.9,14,13.9,0.1,45,0.298,21209
166,KAY&QUE,0,0,0,11.5,11.5,--,0,0,0
167,KBPPWBIL,21,21,18.9,20.9,19.3,1.7,757,13.886,"678,160"
168,KEYACOSMET,17.4,17.4,17.1,17.4,15.9,1.5,174,3.021,"173,977"
169,KOHINOOR,348,348,340.5,343,341.1,6.9,20,0.125,363
170,KPCL,57.7,58.9,57.5,57.8,58,-0.3,846,38.887,671183
171,KPPL,17.2,17.3,16.1,17.1,16.2,1,598,11.04,"657,201"
172,LAFSURCEML,113.1,115.5,112.9,113.3,113.6,-0.5,973,50.511,"444,252"
173,LANKABAFIN,27,28.7,26.7,26.9,27.8,-0.8,343,7.534,"274,464"
174,LEGACYFOOT,19.3,19.7,18.9,19.3,19.9,-0.6,87,1.01,"52,490"
175,LIBRAINFU,345,350,345,346.8,350,-5,4,0.01,30
176,LINDEBD,890.1,900,890.1,890.9,913.1,-23,13,0.188,211
177,LRGLOBMF1,3.8,3.8,3.7,3.8,3.8,0,4,0.064,"17,000"
178,MAKSONSPIN,8,9,8,8.3,9,-0.1,227,3.669,"436,143"
179,MALEKSPIN,17,17,17,16.6,16.5,0.1,69,1.252,"75,107"
180,MARICO,1316,1318,1292,1305.1,1306,10.1,81,2.722,"2,084"
181,MATINSPINN,39,40.00,38,39,38.50,0.6,57,2.503,"64,950"
182,MBL1STMF,3.7,3.8,3.7,3.7,3.7,0,13,0.758,"204,000"
183,MEGCONMILK,0,0,0,7.1,7.1,--,0,0,0
184,MEGHNACEM,101,101,100,100.7,99.9,1.1,61,1.213,"12,103"
185,MEGHNALIFE,70,72.2,70,70.5,72.1,-2.1,105,1.262,"17,893"
186,MEGHNAPET,5.6,5.6,5.5,5.5,5.5,0.1,4,0.018,"3,250"
187,MERCANBANK,11,12,11,10.8,11.7,-0.9,348,11.385,"1,044,554"
188,MERCINS,12.8,13,12,12.4,12.9,-0.1,27,0.266,"21,412"
189,METROSPIN,9.1,9,8.9,9.1,9.3,-0.2,59,0.754,"83,287"
190,MHSML,35.7,35.8,34.7,35.7,34.9,0.8,631,40.312,"1,141,166"
191,MICEMENT,67.2,67.2,66,66.9,66.6,0.6,139,2.068,"31,026"
192,MIDASFIN,9.3,9.9,9.3,9.6,9.3,0,24,0.1,"10,400"
193,MIRACLEIND,12.3,13.3,12.3,12.4,12.7,-0.4,59,0.818,"66,204"
194,MITHUNKNIT,74.6,74.9,72.4,74.2,74.4,0.2,322,7.321,"99,585"
195,MJLBD,129.7,130.9,126.4,129.7,127.6,2.1,2918,188.414,"1,463,253"
196,MODERNDYE,70,77.5,70,70.3,76.5,-6.5,8,0.022,314
197,MONNOCERA,25,25.2,24.1,24.9,26,-1,10,0.077,3091
198,MONNOSTAF,267.2,285,265.1,274.1,281.7,-14.5,22,0.358,"1,305"
199,MPETROLEUM,198,198,194.5,195.4,196.8,1.2,153,5.254,26912
200,MTB,14.1,14.2,13.9,14.1,14,0.1,132,3.39,"241,493"
201,NATLIFEINS,218,228.9,218,221.1,226.2,-8.2,96,2.683,"12,088"
202,NAVANACNG,51.2,51.9,50.8,51.2,51.9,-0.7,186,4.716,"92,064"
203,NBL,9.7,10,9.7,9.8,9.9,-0.2,231,3.097,"315,583"
204,NCCBANK,10.4,10.5,10.2,10.4,10.5,-0.1,128,3.804,"366,281"
205,NCCBLMF1,3.6,3.8,3.6,3.6,3.7,-0.1,53,1.653,450599
206,NFML,22.2,22.2,20.3,22.2,20.2,2,817,17.089,"794,573"
207,NHFIL,22.8,22.8,21.6,21.9,23.1,-0.3,62,0.534,"24,487"
208,NITOLINS,23.7,25,23.7,24.4,23.8,-0.1,19,0.171,"7,021"
209,NLI1STMF,8.3,8.3,8,8.1,8,0.3,12,0.198,"24,360"
210,NORTHERN,175,179,175,176.3,179.4,-4.4,16,0.104,590
211,NORTHRNINS,17.2,17.2,16,16.5,18.4,-1.2,26,0.324,"19,420"
212,NPOLYMAR,73.6,75,72.5,72.8,74.8,-1.2,270,5.246,"70,881"
213,NTC,702.2,720,702.2,703.6,712.6,-10.4,6,0.225,320
214,NTLTUBES,98,101,96,96.8,100.8,-2.8,350,4.196,42767
215,OLYMPIC,217.9,220.3,216.7,217.1,220.1,-2.2,441,21.917,"100,602"
216,ONEBANKLTD,11.7,12,11.5,11.8,11.8,-0.1,229,12.25,"1,042,483"
217,ORIONINFU,41.3,41.8,40.8,41,41.6,-0.3,336,10.269,"249,144"
218,ORIONPHARM,40,41.2,39,39.8,41,-1,529,21.821,"547,761"
219,PADMALIFE,34,34,30.6,32.5,34,0,23,0.234,"7,200"
220,PADMAOIL,232.8,236.1,232.5,233.1,235.2,-2.4,177,6.427,"27,457"
221,PARAMOUNT,12.2,12.5,12.2,12.4,13,-0.8,5,0.02,"1,581"
222,PENINSULA,18.7,18.9,18,18.6,18.4,0.3,259,2.658,"144,225"
223,PEOPLESINS,16.6,17.3,16.6,16.6,17.7,-1.1,58,0.266,"15,740"
224,PF1STMF,4.1,4.3,4,4.1,4.1,0,6,0.031,7600
225,PHARMAID,299,310.8,296.9,298.5,307.3,-8.3,1258,44.136,"146,535"
226,PHENIXINS,22.5,22.6,22.2,22.4,22.9,-0.4,37,1.421,"63,487"
227,PHOENIXFIN,22.1,22.2,21.3,22,21.8,0.3,145,3.41,"157,002"
228,PHPMF1,4,4.1,4,4,4,0,24,0.437,"108,659"
229,PIONEERINS,32.7,33.7,32.6,33,34.3,-1.6,20,0.389,"11,787"
230,PLFSL,13.6,14.9,13,13.5,14.1,-0.5,745,15.741,"1,141,398"
231,POPULAR1MF,4.2,4.2,4,4.1,4.1,0.1,42,0.702,"171,156"
232,POPULARLIF,148.6,169,148.1,151,161.2,-12.6,530,15.463,"99,462"
233,POWERGRID,32.5,32.5,31.5,32.1,31.7,0.8,43,0.941,"29,450"
234,PRAGATIINS,29.6,29.6,29.5,29.5,31.6,-2,2,0.043,"1,463"
235,PRAGATILIF,101,102.5,101,102.1,102.3,-1.3,19,0.384,"3,760"
236,PREMIERBAN,8.3,8.4,8.2,8.2,8.4,-0.1,123,1.011,"122,256"
237,PREMIERCEM,58.5,59,57.6,58.4,59.3,-0.8,3,0.023,400
238,PREMIERLEA,7.3,7.4,7.2,7.3,7.4,-0.1,19,0.138,"18,900"
239,PRIME1ICBA,3.8,3.8,3.8,3.8,3.7,0.1,4,0.006,"1,500"
240,PRIMEBANK,15.6,15.8,15.3,15.7,15.6,0,79,1.474,"94,811"
241,PRIMEFIN,13.3,13.7,13.3,13.4,13.6,-0.3,75,0.874,"65,211"
242,PRIMEINSUR,14,14.2,13.6,14,14,0,29,0.351,"25,296"
243,PRIMELIFE,45,47.8,43.5,45.5,47.4,-2.4,40,0.43,"9,220"
244,PRIMETEX,14.8,15.3,14.8,14.9,15,-0.2,20,0.129,"8,640"
245,PROGRESLIF,79.1,79.1,79.1,79.1,72,7.1,1,0.004,50
246,PROVATIINS,14.6,15.1,14.6,14.9,15.1,-0.5,9,0.033,2219
247,PTL,15.1,15.3,15,15.1,15.3,-0.2,100,1.01,"66,834"
248,PUBALIBANK,19.5,20.6,19.4,19.7,19.7,-0.2,84,0.75,"37,766"
249,PURABIGEN,14.9,15,14.5,14.6,14.7,0.2,6,0.008,520
250,QSMDRYCELL,49.4,52,49.4,50,52.9,-3.5,202,5.082,"100,315"
251,RAHIMAFOOD,26.1,27.9,26.1,26.6,26.3,-0.2,26,0.076,"2,858"
252,RAHIMTEXT,218.8,223,218.8,220.8,221.5,-2.7,26,0.292,"1,319"
253,RAKCERAMIC,48,49,47,47.3,48.1,-0.3,190,3.623,"76,769"
254,RANFOUNDRY,96,96,95,95.7,96,-0.2,17,0.164,"1,710"
255,RDFOOD,15,15.4,14.9,15,15,0,252,5.311,"353,461"
256,RECKITTBEN,1482,1540,1468,1477.5,1560.7,-78.7,134,2.66,"1,782"
257,RELIANCE1,6,6,5.70,5.80,5.90,-0.2,13,0.092,"16,000"
258,RELIANCINS,40,40,40,40.1,40,-0.4,17,0.616,"15,391"
259,RENATA,1100,1139,1100,1113.1,1140.6,-40.6,572,20.466,"18,220"
260,RENWICKJA,229,236,228,230.3,233.8,-4.8,148,2.056,"8,862"
261,REPUBLIC,15.9,16.1,15.9,16,16.4,-0.5,35,0.547,"34,128"
262,RNSPIN,22,23,21,21.8,22,-0.2,143,1.886,"86,605"
263,RSRMSTEEL,48,48,45,47,45,2.5,1051,35.197,"755,050"
264,RUPALIBANK,41.6,42,41,41.5,42.8,-1.2,6,0.011,265
265,RUPALIINS,16,16,14.8,15.7,16.3,0,37,0.293,"18,694"
266,RUPALILIFE,38.2,40,38.1,38.5,39.4,-1.2,30,0.295,"7,595"
267,SAFKOSPINN,17.7,18.3,17.6,17.7,17.7,0,302,5.008,"280,342"
268,SAIFPOWER,65,66.9,64.5,65.1,66,-1,943,40.628,620952
269,SAIHAMCOT,19,19.1,18.6,18.9,18.8,0.2,67,1.445,"76,850"
270,SAIHAMTEX,22.5,22.5,21.4,22.2,22,0.5,32,0.694,"31,350"
271,SALAMCRST,25,25,23.1,24.3,23.2,1.8,243,5.035,"210,138"
272,SALVOCHEM,14.4,14.7,13.9,14.4,14.6,-0.2,265,3.117,"219,746"
273,SAMATALETH,0,0,0,17.7,17.7,--,0,0,0
274,SAMORITA,73.2,74.7,73.1,73.5,74.4,-1.2,36,0.642,8710
275,SANDHANINS,53.3,54.8,53.3,53.3,54.4,-1.1,31,0.388,"7,241"
276,SAPORTL,50.3,52.7,50.1,50.7,52,-1.7,1099,30.602,"598,315"
277,SAVAREFR,0,0,0,43.9,43.9,--,0,0,0
278,SEBL1STMF,8,8,8,8,8,0,3,0.066,8250
279,SHAHJABANK,9.9,10,9.9,9.9,11,-1.1,203,6.542,"660,670"
280,SHASHADNIM,40,43,39.9,40.2,41.5,-1.5,3031,126.702,"3,099,592"
281,SHURWID,19.4,19.7,17.7,19.3,18.2,1.2,445,7.335,"387,812"
282,SHYAMPSUG,0,0,0,6.5,6.5,--,0,0,0
283,SIBL,12.6,12.6,12.3,12.6,12.4,0.2,132,2.907,"231,723"
284,SINGERBD,175.2,176.9,174.9,175.3,175.6,-0.4,342,5.838,"33,247"
285,SINOBANGLA,22,22.7,21.5,22.5,22.7,-0.7,84,1.184,"53,194"
286,SONALIANSH,96,99.6,95.2,96.1,100,-4,162,1.523,"15,745"
287,SONARBAINS,14.7,14.7,14.5,14.6,14.6,0.1,7,0.017,"1,156"
288,SONARGAON,0,0,0,9.3,9.3,--,0,0,0
289,SOUTHEASTB,15.5,15.9,15.5,15.5,15.8,-0.3,204,8.101,"519,203"
290,SPCERAMICS,10.7,11,10.7,10.8,11,-0.3,22,0.171,"15,698"
291,SPCL,151.2,160,151.1,153.1,159.1,-7.9,2020,49.766,"322,484"
292,SPPCL,45.5,45.6,43.9,45.4,44.8,0.7,345,10.027,"224,303"
293,SQUARETEXT,83.5,84.8,82.3,84.1,82.7,0.8,182,4.26,"51,011"
294,SQURPHARMA,264.3,267,263.2,263.8,265.7,-1.4,1494,67.302,"254,431"
