  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
126,GP,329.6,334,329,330.9,331,-1.4,981,60.697,"183,309"
127,GPHISPAT,36,36.6,34,36,34,2,36,0.668,"18,884"
128,GQBALLPEN,71.9,71.9,65.4,71.9,65.4,6.5,171,1.445,"20,751"
129,GRAMEEN1,19.4,19.5,18.1,19.4,17.9,1.5,123,2.525,"131,780"
130,GRAMEENS2,9.3,9.3,8.9,9.1,9,0.3,143,1.766,"194,362"
131,GREENDELMF,3.9,4.1,3.7,3.9,3.8,0.1,54,3.319,"877,150"
132,GREENDELT,49.8,51.5,48.6,49.4,48.6,1.2,16,0.097,"1,957"
133,GSPFINANCE,11.2,11.3,10.6,11.1,10.5,0.7,315,3.915,"354,026"
134,HAKKANIPUL,19.5,19.7,18.3,19,18.3,1.2,41,0.371,"19,703"
135,HEIDELBCEM,478.9,490,475,480.3,477.8,1.1,289,22.846,"47,271"
136,HFL,21.5,22,20,21.7,20.7,0.8,337,7.898,"367,647"
137,HRTEX,15.8,16.7,15.8,16.2,15.2,0.6,31,0.386,"23,848"
138,HWAWELLTEX,29.2,29.3,27.2,29,27.4,1.8,175,3.328,"115,729"
139,IBNSINA,95.7,100,95.7,97,96.1,-0.4,171,5.734,"58,097"
140,ICB,104.2,104.2,95.5,104.2,94.8,9.4,404,7.414,"73,191"
141,ICB1STNRB,16.9,16.9,16.5,16.7,16,0.9,10,0.167,"10,000"
142,ICB2NDNRB,5.8,5.9,5.8,5.9,5.7,0.1,14,0.19,"32,500"
143,ICB3RDNRB,3.9,3.9,3.7,3.8,3.7,0.2,15,0.177,"46,410"
144,ICBAMCL2ND,4,4,4,4,3.9,0.1,3,0.072,"18,000"
145,ICBEPMF1S1,4,4,3.8,4,3.8,0.2,13,0.162,"40,800"
146,ICBIBANK,4,4,3.9,3.9,3.9,0.1,25,0.266,"67,730"
147,ICBSONALI1,5,5,4.8,4.8,4.8,0.2,8,0.081,"16,800"
148,IDLC,43,44.2,42.3,43.5,42.6,0.4,612,16.893,"392,176"
149,IFADAUTOS,81,83.4,80,81.1,81.2,-0.2,"1,330",105.507,"1,293,368"
150,IFIC,19,19.2,18.2,19.1,18.2,0.8,216,3.676,"196,443"
151,IFIC1STMF,4,4.1,3.9,4,4,0,16,0.127,"31,762"
