  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
223,PENINSULA,17.6,17.6,16.8,17.5,16.8,0.8,286,3.901,"225,222"
224,PEOPLESINS,13.5,13.6,13,13.5,13,0.5,28,0.184,"13,707"
225,PF1STMF,4.1,4.1,4,4,4,0.1,5,0.016,"4,062"
226,PHARMAID,275.7,291.8,272.3,280.3,283.4,-7.7,"1,185",45.178,"158,084"
227,PHENIXINS,22.5,23.1,21.5,22.4,21.3,1.2,124,2.317,"104,520"
228,PHOENIXFIN,15.7,15.8,15,15.5,14.8,0.9,96,1.325,"85,520"
229,PHPMF1,4,4,3.9,4,3.9,0.1,34,0.226,"56,639"
230,PIONEERINS,27.2,28,26.4,27.6,26.5,0.7,36,0.316,"11,569"
231,PLFSL,14.8,14.8,13.8,14.7,13.7,1.1,"1,108",33.419,"2,345,985"
232,POPULAR1MF,4,4.1,3.9,4,4,0,35,0.13,"32,346"
233,POPULARLIF,84.1,87,82.9,85.5,82.1,2,278,4.385,"52,304"
234,POWERGRID,30.1,30.4,29.3,29.8,29.2,0.9,58,0.599,"20,042"
235,PRAGATIINS,23.9,23.9,22.2,22.8,22.2,1.7,60,0.546,"23,921"
236,PRAGATILIF,89.6,90.3,89.5,89.9,90.3,-0.7,17,0.38,"4,228"
237,PREMIERBAN,8.6,8.6,8.2,8.5,8.3,0.3,239,8.015,"947,811"
238,PREMIERCEM,53,53.9,51,53.1,51.5,1.5,70,1.696,"32,120"
239,PREMIERLEA,6.9,6.9,6.5,6.8,6.6,0.3,80,0.519,"77,281"
240,PRIME1ICBA,3.9,3.9,3.7,3.9,3.8,0.1,12,0.081,"21,000"
241,PRIMEBANK,15.8,15.8,15.3,15.8,15.5,0.3,86,4.609,"295,694"
242,PRIMEFIN,13.7,13.7,13.2,13.7,13.2,0.5,249,4.49,"334,702"
243,PRIMEINSUR,14.5,14.7,14,14.6,14.1,0.4,98,1.018,"70,087"
244,PRIMELIFE,39.1,39.8,36,38.8,37.5,1.6,124,1.043,"27,477"
245,PRIMETEX,13.2,13.8,13.2,13.4,12.7,0.5,41,0.648,"48,240"
246,PROGRESLIF,60,60,60,60,55.3,4.7,1,0.006,100
247,PROVATIINS,11.8,12,11.4,11.7,11.5,0.3,44,0.442,"37,840"
248,PTL,15.8,15.8,15,15.5,15,0.8,210,2.27,"147,709"
249,PUBALIBANK,19.9,19.9,19.5,19.8,19.8,0.1,95,2.102,"106,010"
250,PURABIGEN,14.3,14.3,13.7,14,14,0.3,11,0.164,"11,707"
251,QSMDRYCELL,47,48.3,46,46.8,45.5,1.5,595,18.304,"387,785"
252,RAHIMAFOOD,19.2,20.5,19.2,19.7,19.1,0.1,36,0.358,"18,058"
253,RAHIMTEXT,224,230,220.2,221.9,222.5,1.5,140,1.601,"7,081"
254,RAKCERAMIC,59.8,61,58,60,57.4,2.4,"2,205",93.378,"1,570,292"
255,RANFOUNDRY,90,92,88,90.5,89.6,0.4,37,0.613,"6,794"
256,RDFOOD,8.5,8.9,8.5,8.6,8.5,0,128,1.062,"122,735"
257,RECKITTBEN,"1,475","1,505","1,466.10","1,471.40","1,490.60",-15.6,160,5.686,"3,840"
258,RELIANCE1,5.7,5.8,5.3,5.8,5.7,0,5,0.038,"6,550"
259,RELIANCINS,40,40,38,39,38.3,1.7,20,0.389,"9,973"
260,RENATA,"1,073.90","1,077.80","1,069.30","1,071.60","1,075.70",-1.8,305,12.64,"11,792"
261,RENWICKJA,229,234,225.1,230.7,227.2,1.8,67,0.712,"3,075"
262,REPUBLIC,13.4,13.9,13.1,13.4,13.3,0.1,68,0.658,"48,366"
263,RNSPIN,18.9,19.2,18.2,19,18.6,0.3,197,3.745,"199,877"
264,RSRMSTEEL,45.8,47.1,44.1,45.6,44.7,1.1,585,17.553,"380,102"
265,RUPALIBANK,37.5,40,37,37.9,37.8,-0.3,21,0.177,"4,680"
266,RUPALIINS,14.1,14.3,13.1,14.2,13.9,0.2,56,1.313,"96,454"
267,RUPALILIFE,31.5,31.6,29.7,31.5,30.2,1.3,197,2.789,"91,191"
268,SAFKOSPINN,17.4,17.6,16.2,17.5,16.1,1.3,190,3.383,"198,465"
269,SAIFPOWER,69.3,72,69.3,70.3,70.7,-1.4,"1,800",78.007,"1,101,882"
270,SAIHAMCOT,16.6,16.6,15.8,16.5,15.7,0.9,51,1.284,"79,370"
271,SAIHAMTEX,20.1,20.2,19.6,19.7,19.6,0.5,82,3.018,"152,510"
272,SALAMCRST,26.5,27.5,25,26.5,25.5,1,237,4.47,"168,180"
273,SALVOCHEM,15.5,15.5,14.6,15.2,14.5,1,467,7.831,"516,902"
274,SAMATALETH,0,0,0,15.4,15.4,--,0,0,0
275,SAMORITA,70,70,68.3,69.7,67.8,2.2,41,0.595,"8,542"
276,SANDHANINS,49.7,50.9,49.1,50,49.5,0.2,20,0.279,"5,595"
277,SAPORTL,47.5,48.7,47,47.4,47.2,0.3,"1,274",36.183,"755,159"
278,SAVAREFR,0,0,0,43.9,43.9,--,0,0,0
279,SEBL1STMF,8,8,7.8,8,7.9,0.1,6,0.26,"32,550"
280,SHAHJABANK,9.5,9.6,9.3,9.5,9.3,0.2,117,3.073,"323,714"
281,SHASHADNIM,37.8,38.4,36.7,37.6,37.2,0.6,"1,060",64.934,"1,731,349"
282,SHURWID,16,16.3,15,16.2,14.9,1.1,443,5.588,"347,769"
283,SHYAMPSUG,0,0,0,6.3,6.3,--,0,0,0
284,SIBL,13.7,13.9,13.4,13.9,13.6,0.1,128,9.963,"720,684"
285,SINGERBD,152,152.9,150,151.1,150.9,1.1,434,7.179,"47,521"
286,SINOBANGLA,20.2,20.2,18.6,20.2,18.4,1.8,128,2.119,"105,954"
287,SONALIANSH,93,93.4,88.4,92.6,86.1,6.9,74,0.553,"6,070"
288,SONARBAINS,13.6,13.8,12,12.3,12.8,0.8,35,3.392,"277,274"
289,SONARGAON,7.9,8.3,7.7,8,8,-0.1,51,0.427,"53,631"
290,SOUTHEASTB,15.8,15.8,15.1,15.7,15.5,0.3,187,9.67,"621,021"
291,SPCERAMICS,8.5,8.8,8.5,8.6,8.4,0.1,50,0.289,"33,393"
292,SPCL,181.2,184,174.3,180.8,173.7,7.5,"3,742",201.123,"1,124,181"
293,SPPCL,47,47.4,45.7,46.6,45.9,1.1,587,18.03,"388,725"
294,SQUARETEXT,78.8,79,77,78.1,77.5,1.3,86,1.892,"24,132"
295,SQURPHARMA,245,245.4,242,245,240,5,"1,545",89.854,"368,158"
296,STANCERAM,31.2,31.2,30,30.5,30.8,0.4,3,0.028,924
297,STANDARINS,16.4,16.8,15.5,16.4,15.9,0.5,30,0.252,"15,454"
298,STANDBANKL,9,9.2,8.8,9,9,0,177,5.092,"566,283"
299,STYLECRAFT,0,0,0,815,815,--,0,0,0
300,SUMITPOWER,29.1,29.5,27.8,28.8,27.6,1.5,662,17.681,"611,979"
301,SUNLIFEINS,27.2,27.2,25.8,27,25.4,1.8,27,0.221,"8,196"
302,TAKAFULINS,17.4,18.2,17,17.4,17.3,0.1,11,0.058,"3,324"
303,TALLUSPIN,14.9,14.9,14.1,14.8,14.6,0.3,85,1.344,"91,560"
304,TITASGAS,63.9,63.9,61,62.5,60.8,3.1,464,29.899,"484,223"
305,TRUSTB1MF,4.1,4.3,4.1,4.2,4.1,0,57,0.91,"217,645"
306,TRUSTBANK,14.6,14.8,13.6,14.4,13.8,0.8,293,11.295,"785,709"
307,TUNGHAI,20.8,21.2,20.4,20.8,20.6,0.2,155,5.706,"274,350"
308,UCBL,19,19.2,18.7,18.9,18.7,0.3,278,7.739,"409,637"
309,UNIONCAP,13.2,13.3,13,13.1,13.1,0.1,100,1.497,"114,255"
310,UNIQUEHRL,48.3,48.3,45,47.7,46,2.3,784,18.974,"403,652"
311,UNITEDAIR,7.1,7.1,6.9,7.1,6.9,0.2,828,16.521,"2,363,217"
312,UNITEDFIN,17.6,18,17.1,17.8,17.2,0.4,46,0.412,"23,324"
313,UNITEDINS,20,20,20,20,19.3,0.7,3,0.029,"1,433"
314,UPGDCL,188,193.4,182,186.4,185,3,"6,335",288.591,"1,533,479"
315,USMANIAGL,95,97,86.5,96.8,90.8,4.2,58,0.482,"5,076"
316,UTTARABANK,17.3,17.5,16.9,17.4,17.1,0.2,127,2.7,"157,973"
317,UTTARAFIN,50.2,50.9,49.5,50,49.8,0.4,185,3.616,"72,136"
318,WATACHEM,206.3,212.8,202,205.1,202.9,3.4,322,7.231,"35,156"
319,WMSHIPYARD,45.5,46.4,44.9,45.6,44.8,0.7,"2,737",85.683,"1,878,162"
320,ZAHEENSPIN,19,19.5,18.2,19.2,18.2,0.8,326,5.522,"295,256"
321,ZAHINTEX,13.6,13.9,13,13.7,13.1,0.5,221,2.674,"200,967"
322,ZEALBANGLA,6.1,6.1,5.7,5.9,6.2,-0.1,2,0.001,220
