  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
111,FINEFOODS,10.3,10.3,10,10.2,10.1,0.2,8,0.031,"3,061"
112,FIRSTSBANK,11.4,11.4,11,11.3,11.3,0.1,208,4.631,"410,635"
113,FLEASEINT,16.6,16.7,16.4,16.4,16.9,-0.3,90,1.75,"106,230"
114,FUWANGCER,13.5,13.9,13.5,13.6,13.7,-0.2,146,2.731,"200,597"
115,FUWANGFOOD,22.6,23.2,22.3,22.4,22.9,-0.3,406,9.637,"425,399"
116,GBBPOWER,20.6,20.8,20.5,20.7,20.7,-0.1,94,1.153,"55,761"
117,GEMINISEA,185.2,190.5,184.6,185.3,186.9,-1.7,47,0.528,"2,817"
118,GENNEXT,13.2,13.3,12.9,13.1,13.1,0.1,210,7.209,"548,540"
119,GHAIL,24.1,25.5,23.6,23.8,23.7,0.4,116,2.739,"113,007"
120,GHCL,39,40.4,38.7,38.9,39,0,49,1.471,"37,750"
121,GLAXOSMITH,"1,692","1,735","1,681","1,701.10","1,706.10",-14.1,231,15.936,"9,296"
122,GLOBALINS,0,0,0,15.9,15.9,--,0,0,0
123,GOLDENSON,38.9,39.8,38.6,38.8,39.3,-0.4,274,10.066,"258,602"
124,GP,327.8,332.1,327.1,328.1,329.4,-1.6,650,36.758,"111,926"
125,GPHISPAT,42.4,42.9,41.1,42.5,42.5,-0.1,55,1.954,"45,891"
126,GQBALLPEN,102,103.6,99.5,100.9,101,1,121,1.37,"13,529"
127,GRAMEEN1,22.2,22.2,21.9,22.2,22,0.2,54,1.378,"62,390"
128,GRAMEENS2,11.2,11.2,11,11.2,11.1,0.1,83,1.677,"150,833"
129,GREENDELMF,4.4,4.5,4.4,4.4,4.5,-0.1,12,0.029,"6,500"
130,GREENDELT,58.4,60.3,58.4,59.2,59.9,-1.5,27,0.27,"4,561"
131,GSPFINANCE,14.7,14.9,14.7,14.7,14.8,-0.1,151,1.845,"124,924"
132,HAKKANIPUL,23.3,23.6,23.3,23.4,23.1,0.2,13,0.042,"1,800"
133,HEIDELBCEM,516.6,519.7,515,517.2,518.8,-2.2,285,16.248,"31,443"
134,HFL,25.1,26.1,25,25.2,25.7,-0.6,451,7.315,"286,037"
135,HRTEX,22.3,22.7,22.2,22.3,22.4,-0.1,33,0.363,"16,243"
136,HWAWELLTEX,33.8,34,33.6,33.8,34.2,-0.4,60,1.144,"33,875"
137,IBNSINA,100.1,102.7,99.6,100.4,101.7,-1.6,99,1.674,"16,677"
138,ICB,134.1,135.4,133.7,134.3,134,0.1,173,5.075,"37,811"
