  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
210,NORTHERN,191,192.1,191,191.8,198.3,-7.3,3,0.019,100
211,NORTHRNINS,22.3,22.8,22.3,22.6,22.5,-0.2,33,0.497,"22,006"
212,NPOLYMAR,76.9,77.3,75,76.1,75,1.9,525,22.728,"297,164"
213,NTC,701.1,702,700,700.7,714.6,-13.5,13,0.568,810
214,NTLTUBES,123.5,127.2,122.5,123.9,124.5,-1,595,11.349,"90,848"
215,OLYMPIC,216.1,219.7,216.1,216.9,216.4,-0.3,441,22.267,"102,284"
216,ONEBANKLTD,14.9,15.2,14.8,15.1,14.9,0,288,17.897,"1,191,699"
217,ORIONINFU,40.4,40.6,40.2,40.3,40.6,-0.2,115,3.309,"81,946"
218,ORIONPHARM,43.6,43.7,43.1,43.5,43.6,0,188,3.123,"71,817"
219,PADMALIFE,38.2,38.2,38,38,38.7,-0.5,11,0.101,"2,658"
220,PADMAOIL,242,245,241.5,242.1,242.6,-0.6,193,6.144,"25,379"
221,PARAMOUNT,14.3,14.4,14,14.2,14.5,-0.2,40,0.562,"39,657"
222,PENINSULA,22.7,22.9,22.5,22.6,22.7,0,170,2.633,"116,436"
223,PEOPLESINS,20,20.5,19,19.8,19.6,0.4,44,0.469,"23,773"
224,PF1STMF,4.8,4.9,4.8,4.9,4.9,-0.1,12,0.09,"18,500"
225,PHARMAID,255,257,252.9,253.3,254.8,0.2,167,3.574,"14,070"
226,PHENIXINS,29.5,29.9,29,29.1,29.3,0.2,56,1.928,"66,086"
227,PHOENIXFIN,23.9,24.5,23.2,23.4,24.3,-0.4,64,1.947,"81,183"
228,PHPMF1,4.4,4.5,4.4,4.5,4.5,-0.1,15,0.396,"88,324"
229,PIONEERINS,41.4,41.7,39.5,41.5,41.7,-0.3,22,0.604,"14,612"
230,PLFSL,18.2,18.5,18,18.1,18.5,-0.3,430,7.329,"403,855"
231,POPULAR1MF,4.7,4.7,4.6,4.7,4.7,0,41,0.228,"49,074"
232,POPULARLIF,140,141.4,138,140.5,140.3,-0.3,34,0.705,"5,045"
233,POWERGRID,36,36.9,35.5,35.7,35.8,0.2,20,0.371,"10,380"
234,PRAGATIINS,40.5,41.9,40.5,40.7,40.9,-0.4,23,0.143,"3,506"
235,PRAGATILIF,114.8,117,111,114.3,109.7,5.1,136,4.255,"37,205"
236,PREMIERBAN,9.6,9.8,9.6,9.6,9.6,0,114,2.256,"232,567"
237,PREMIERCEM,65,66.2,65,65.7,65.1,-0.1,32,0.618,"9,415"
238,PREMIERLEA,9,9,8.8,8.9,8.9,0.1,21,0.299,"33,550"
239,PRIME1ICBA,4.4,4.5,4.4,4.4,4.4,0,11,0.227,"51,550"
240,PRIMEBANK,18.7,19.4,18.6,18.7,19,-0.3,182,10.209,"538,587"
241,PRIMEFIN,17.5,17.7,17,17.3,17.5,0,152,5.165,"298,999"
242,PRIMEINSUR,15.6,16.3,15.6,15.7,18.2,-2.6,176,3.578,"228,190"
243,PRIMELIFE,58.7,58.7,56.6,58.5,57.5,1.2,151,3.407,"58,640"
244,PRIMETEX,17.1,17.2,17.1,17.1,17.2,-0.1,18,0.405,"23,705"
245,PROGRESLIF,75,75,70.2,74.8,69.1,5.9,21,0.134,"1,795"
246,PROVATIINS,16.3,17.9,15.5,17.2,16.5,-0.2,19,0.153,"8,929"
247,PTL,18.7,19,18.2,18.6,18.7,0,108,1.243,"67,362"
248,PUBALIBANK,25,25,24.4,24.8,24.9,0.1,233,9.542,"387,142"
249,PURABIGEN,17.1,17.2,16.8,17,16.9,0.2,33,0.296,"17,453"
250,QSMDRYCELL,61.5,61.8,59.6,61.3,59.7,1.8,434,14.098,"230,535"
251,RAHIMAFOOD,33.6,34,33.6,33.8,33.9,-0.3,11,0.135,"3,990"
252,RAHIMTEXT,241.5,247.4,240.3,241.6,239.1,2.4,55,0.648,"2,665"
253,RAKCERAMIC,53.2,54.3,52.8,53,53.3,-0.1,276,11.455,"215,356"
254,RANFOUNDRY,100.1,101,98.8,100.4,98.7,1.4,70,1.948,"19,444"
255,RDFOOD,18.7,19,18.7,18.8,19,-0.3,93,1.628,"86,381"
256,RECKITTBEN,"1,232","1,285","1,232","1,251.10","1,274",-42,68,1.37,"1,090"
257,RELIANCE1,6.9,7,6.8,6.9,6.9,0,21,0.968,"141,094"
258,RELIANCINS,55.9,55.9,52,52.2,53.5,2.4,2,0.01,195
259,RENATA,"1,103.90","1,109","1,084","1,100.30","1,101.30",2.6,177,6.115,"5,551"
260,RENWICKJA,256.3,259.9,255.8,256.3,256.3,0,55,1.022,"3,983"
261,REPUBLIC,20.7,21.4,20.7,20.9,21.4,-0.7,47,0.746,"35,272"
262,RNSPIN,27.5,28.1,27.4,27.7,27.7,-0.2,236,4.041,"145,492"
263,RSRMSTEEL,49.2,49.6,48.6,49.1,49.3,-0.1,239,11.209,"228,435"
264,RUPALIBANK,51.6,56,50.5,52.9,51.8,-0.2,23,0.136,"2,552"
265,RUPALIINS,22,22.2,21.7,22,21.9,0.1,23,0.18,"8,180"
266,RUPALILIFE,43.8,45.7,43.7,43.9,43.6,0.2,72,1.28,"29,109"
267,SAFKOSPINN,21.6,21.8,21.3,21.4,21.4,0.2,94,1.925,"89,718"
268,SAIFPOWER,63,63.8,62.2,63,62.5,0.5,512,19.186,"303,329"
